input,normalized,detected_label,detected_category,method,score,gt_label,gt_category,correct_label,correct_category
i want to bathe,i want to bathe,bathing,action,tfidf,1.0000000000000002,bathing,action,1,1
i want tobathe,i want bathe,bathing,action,tfidf,0.9208858626719206,bathing,action,1,1
i wan to bathe,i want to bathe,bathing,action,tfidf,1.0000000000000002,bathing,action,1,1
i have a bed time routine,i have a bed time routine,bed time routine,action,tfidf,1.0000000000000002,bed time routine,action,1,1
i hv a bed time routine,i hv a bed time routine,bed time routine,action,direct,1.0,bed time routine,action,1,1
i have a bed time rtn,i have a bed time rtn,bed,action,direct,1.0,bed time routine,action,0,1
tell me a story,tell me a story,bed time story book,action,fuzzy,1.0,bed time story book,action,1,1
tell mea story,tell me story,bed time story book,action,tfidf,1.0,bed time story book,action,1,1
tll me a story,tell me a story,bed time story book,action,fuzzy,1.0,bed time story book,action,1,1
i want to go to bed,i want to go to bed,bed,action,tfidf,1.0000000000000002,bed,action,1,1
i wnat to go to bed,i what to go to bed,bed,action,direct,1.0,bed,action,1,1
i wantto go to bed,i want go to bed,bed,action,direct,1.0,bed,action,1,1
i want to ride bicycle,i want to ride bicycle,bicycle,action,direct,1.0,bicycle,action,1,1
i want to ride bicycle,i want to ride bicycle,bicycle,action,direct,1.0,bicycle,action,1,1
i want to ride bcycl,i want to ride bicycle,bicycle,action,direct,1.0,bicycle,action,1,1
i want to go in bike,i want to go in bike,bike,action,direct,1.0,bike,action,1,1
i wantto go in bike,i want go in bike,bike,action,direct,1.0,bike,action,1,1
i want to go inbike,i want to go bike,bike,action,direct,1.0,bike,action,1,1
cover me with blankets,cover me with blankets,blanket,action,tfidf,1.0000000000000002,blanket,action,1,1
coevr me with blankets,cover me with blankets,blanket,action,tfidf,1.0000000000000002,blanket,action,1,1
cover me with blnakets,cover me with blankets,blanket,action,tfidf,1.0000000000000002,blanket,action,1,1
shall we go in car,shall we go in car,car,action,direct,1.0,car,action,1,1
shall we go in car,shall we go in car,car,action,direct,1.0,car,action,1,1
shallwe go in car,shall go in car,car,action,direct,1.0,car,action,1,1
crumble it,crumble it,crumble,action,tfidf,1.0000000000000002,crumble,action,1,1
crumble t,crumble t,crumble,action,direct,1.0,crumble,action,1,1
curmble it,crumble it,crumble,action,tfidf,1.0000000000000002,crumble,action,1,1
its in my cupboard,its in my cupboard,cupboard,action,direct,1.0,cupboard,action,1,1
its in my cupobard,its in my cupboard,cupboard,action,direct,1.0,cupboard,action,1,1
itsin my cupboard,its my cupboard,cupboard,action,direct,1.0,cupboard,action,1,1
i want to dance,i want to dance,dance,action,direct,1.0,dance,action,1,1
 want to dance,want to dance,dance,action,direct,1.0,dance,action,1,1
i want to danec,i want to dance,dance,action,direct,1.0,dance,action,1,1
its on the desk,its on the desk,desk,action,direct,1.0,desk,action,1,1
its on the desk,its on the desk,desk,action,direct,1.0,desk,action,1,1
its onthe desk,its month desk,desk,action,direct,1.0,desk,action,1,1
open the door,open the door,door,action,direct,1.0,door,action,1,1
open the doro,open the door,door,action,direct,1.0,door,action,1,1
open thedoor,open thedoor,door,action,fuzzy,0.96,door,action,1,1
good drama,good drama,drama,action,tfidf,1.0000000000000002,drama,action,1,1
ogod drama,good drama,drama,action,tfidf,1.0000000000000002,drama,action,1,1
gooddrama,gooddrama,drama,action,fuzzy,0.9473684210526315,drama,action,1,1
i am done eating,i am done eating,eating,action,direct,1.0,eating,action,1,1
i am dn eating,i am dn eating,eating,action,direct,1.0,eating,action,1,1
i am done eating,i am done eating,eating,action,direct,1.0,eating,action,1,1
lets go in escalator,lets go in escalator,escalator,action,tfidf,1.0000000000000002,escalator,action,1,1
lets go in escalator,lets go in escalator,escalator,action,tfidf,1.0000000000000002,escalator,action,1,1
lets go in scltr,lets go in scltr,escalator,action,fuzzy,0.8888888888888888,escalator,action,1,1
i want to do some exercise,i want to do some exercise,exercises,action,tfidf,1.0000000000000002,exercises,action,1,1
i wantto do some exercise,i want do some exercise,exercises,action,tfidf,0.9529253525007042,exercises,action,1,1
i wnt to do some exercise,i want to do some exercise,exercises,action,tfidf,1.0000000000000002,exercises,action,1,1
switch on the fan,switch on the fan,fan,action,direct,1.0,fan,action,1,1
switch onthe fan,switch month fan,fan,action,direct,1.0,fan,action,1,1
switch on the afn,switch on the an,fan,action,fuzzy,0.9696969696969697,fan,action,1,1
its inside the fridge,its inside the fridge,fridge,action,tfidf,1.0000000000000002,fridge,action,1,1
ts inside the fridge,its inside the fridge,fridge,action,tfidf,1.0000000000000002,fridge,action,1,1
it inside the fridge,it inside the fridge,fridge,action,direct,1.0,fridge,action,1,1
there are some garbage in the bin,there are some garbage in the bin,garbage in the bin,action,direct,1.0,garbage in the bin,action,1,1
there are some garbage in thebin,there are some garbage in thebin,garbage in the bin,action,fuzzy,0.9846153846153847,garbage in the bin,action,1,1
i am getting ready,i am getting ready,getting ready,action,direct,1.0,getting ready,action,1,1
i am gettingready,i am getting ready,getting ready,action,direct,1.0,getting ready,action,1,1
i am getting read,i am getting read,read,help,direct,1.0,getting ready,action,0,0
its so golden,its so golden,golden,action,tfidf,1.0000000000000002,golden,action,1,1
its s golden,its s golden,golden,action,direct,1.0,golden,action,1,1
it so golden,it so golden,golden,action,direct,1.0,golden,action,1,1
it’s the green light,it’s the green light,green light- go,action,tfidf,1.0000000000000002,green light- go,action,1,1
it’s th green light,it’s the green light,green light- go,action,tfidf,1.0000000000000002,green light- go,action,1,1
it’sthe green light,it’sthe green light,light,action,direct,1.0,green light- go,action,0,1
grind it,grind it,grinder,action,tfidf,1.0000000000000002,grinder,action,1,1
grind t,grind t,grinder,action,fuzzy,0.9333333333333333,grinder,action,1,1
grnid it,grind it,grinder,action,tfidf,1.0000000000000002,grinder,action,1,1
its my habit,its my habit,habits,action,tfidf,1.0000000000000002,habits,action,1,1
its myhabit,its habit,habits,action,tfidf,0.9303650515016557,habits,action,1,1
its my hbait,its my habit,habits,action,tfidf,1.0000000000000002,habits,action,1,1
i am happy,i am happy,happy,action,direct,1.0,happy,action,1,1
i am happy,i am happy,happy,action,direct,1.0,happy,action,1,1
its very hazards,its very hazards,hazards,action,direct,1.0,hazards,action,1,1
its vry hazards,its very hazards,hazards,action,direct,1.0,hazards,action,1,1
its evry hazards,its very hazards,hazards,action,direct,1.0,hazards,action,1,1
