input,normalized,correct_label,time_context,location_context
thereis the giraffe,there's the giraffe,giraffe,afternoon,hospital
i am hurt,i am hurt,i am hurt,evening,restaurant
i need medicine,i need medicine,capsule,afternoon,hospital
i am hungry,i am hungry,breakfast,morning,home
i want to sleep,i want to sleep,nap,morning,home
crumble t,crumble t,crumble,midday,school
 am sorry,am sorry,i am sorry,morning,home
happy birthday,happy birthday,grandpa's birthday,evening,restaurant
i want food,i want food,lunch,midday,school
i feel cold,i feel cold,coat,night,community
strangers-beware!,strangers- beware!,strangers- beware!,morning,home
blow my ns,blow my ns,blow nose,night,community
no pshng please,no pushing please,no pushing please,morning,home
can you make a sandwcih for me,can you make a sandwich for me,sandwich,morning,home
addsome mustard,addsome mustard,mustard,evening,restaurant
i wantsome hotdog,i wantsome hotdog,hotdog,midday,school
its a buffalo,its a buffalo,buffalo,afternoon,hospital
i feel cold,i feel cold,jacket,midday,school
i want to sleep,i want to sleep,rest,evening,restaurant
good evening,good evening,good evening,midday,school
itsso golden,its golden,golden,night,community
excuse me pls,excuse me pls,excuse me,afternoon,hospital
i want to change my t-shirt,i want to change my t-shirt,change t-shirt,morning,home
i want to sleap,i want to sleap,rest,evening,restaurant
cn w go to ice hockey,can w go to ice hockey,ice hockey,midday,school
there is the pegio,there is the pegion,pigeon,afternoon,hospital
i love glb jamun,i love gulab jamun,gulab jamun,afternoon,hospital
give me apple juiec,give me apple juice,apple juice,afternoon,hospital
ti??s bat,this bat,bat,afternoon,hospital
i wan a drink,i wan a drink,water,morning,home
i want to change my footwear,i want to change my footwear,change footwear,afternoon,hospital
cn you roast beef,can you roast beef,roast beef,morning,home
i want some snack mix,i want some snack mix,snack mix,night,community
lets go to grocery shop,lets go to grocery shop,grocery shop,evening,restaurant
i wan a drink,i wan a drink,juice,midday,school
its a rabbit,its a rabbit,rabbit,afternoon,hospital
i am hungry,i am hungry,snack,afternoon,hospital
i want to dnc,i want to dance,dance,night,community
its a diamond,its a diamond,diamond,evening,restaurant
i want shampo,i want shampoo,shampoo,night,community
i wantto change my innerwear,i want change my innerwear,change innerwear,night,community
give m pencil,give m pencil,pencil,afternoon,hospital
its italian,its italian,italian,evening,restaurant
i wantto change my footwear,i want change my footwear,change footwear,afternoon,hospital
i wantpav bhaji,i wantpav bhaji,pav bhaji,evening,restaurant
h grandpa,h grandpa,grandfather,midday,school
i ws pinched,i was pinched,i was pinched,midday,school
i am thirsty,i am thirsty,juice,evening,restaurant
i watn cuppa noodles,i what cuppa noodles,cuppa noodles,night,community
give me gajarhalwa,give me gajarhalwa,gajarhalwa,morning,home
i want to wtch cricket,i want to watch cricket,cricket,evening,restaurant
i was pinche,i was pinched,i was pinched,midday,school
i wantstapler,i stapler,stapler,morning,home
i feel pain,i feel pain,clinic,night,community
add some maple syrup,add some maple syrup,maple syrup,evening,restaurant
its in kitchen,its in kitchen,kitchen,afternoon,hospital
its my hbt,its my habit,habits,morning,home
i want strawberry milkshake,i want strawberry milkshake,strawberry milkshake,afternoon,hospital
its inside the fridge,its inside the fridge,fridge,afternoon,hospital
gv me pencil,gve me pencil,pencil,midday,school
its thepeach,its peach,peach,afternoon,hospital
its rde,its ride,red,morning,home
i want some stmd veggies,i want some stmd veggies,steamed veggies,evening,restaurant
i lk sports,i lk sports,sports,afternoon,hospital
i want jackfruit,i want jackfruit,jackfruit,midday,school
i lik chicken wings,i like chicken wings,chicken wings,night,community
this is my caregiver,this is my caregiver,caregiver,midday,school
i want a drnk,i want a drnk,coca-cola,evening,restaurant
i want aalo poori,i want aaloo poori,aaloo poori,evening,restaurant
cn w go to ice hockey,can w go to ice hockey,ice hockey,morning,home
i am hurt,i am hurt,i am hurt,morning,home
i want ikwi,i want kiwi,kiwi,night,community
give me some chutney,give me some chutney,chutney,afternoon,hospital
i see a crocodile,i see a crocodile,crocodile,evening,restaurant
where is the bal pit,where is the ball pit,ball pit,night,community
i lk chocolate milkshake,i lk chocolate milkshake,chocolate milkshake,morning,home
i wantjackfruit,i jackfruit,jackfruit,midday,school
i want some soup,i want some soup,soup,afternoon,hospital
is thisthe standing line,is thisthe standing line,standing line,afternoon,hospital
happy birthda,happy birthday,grandpa's birthday,morning,home
there is the sheep,there is the sheep,sheep,night,community
 want burger,want burger,burger,morning,home
can yo make me some scrambled eggs,can you make me some scrambled eggs,scrambled eggs,midday,school
i am thirsty,i am thirsty,juice,evening,restaurant
 like sports,like sports,sports,midday,school
i m all done,i m all done,i am all done,night,community
i wan to sleep,i wan to sleep,sleep,night,community
i want food,i want food,dinner,night,community
give me custard,give me custard,custard,morning,home
add some mustard,add some mustard,mustard,afternoon,hospital
i wan a drink,i wan a drink,coca-cola,evening,restaurant
i want toplay seesasw,i want play seesasw,see-saw,night,community
be safety,be safety,safety,midday,school
i want some hotdog,i want some hotdog,hotdog,morning,home
i want to brush my teeth,i want to brush my teeth,brush teeth,morning,home
take me tobalcony,take me balcony,balcony,afternoon,hospital
i want to go in bike,i want to go in bike,bike,night,community
i want a drnk,i want a drnk,soda,night,community
take me to stffrm,take me to staffroom,staffroom,night,community
i feel pain,i feel pain,clinic,night,community
i am hungry,i am hungry,snack,afternoon,hospital
shall weplay a puzzle,shall play a puzzle,puzzle,evening,restaurant
good friday,good friday,good friday,evening,restaurant
i am hungry,i am hungry,snack,afternoon,hospital
happy ganesh chaturthi,happy ganesh chaturthi,ganesh chaturthi,midday,school
lts go to the mall,lets go to the mall,mall,afternoon,hospital
"""please give me a dosa.""","""please give me a dosa.""",dosa,midday,school
i want to change my frock,i want to change my frock,change frock,midday,school
take my drwng book,take my drawing book,drawing book,afternoon,hospital
give me cooki,give me cookie,cookie,afternoon,hospital
giev me bear,give me bear,bear,night,community
come lets dance,come lets dance,lets dance,midday,school
i want fud,i want fud,breakfast,morning,home
happybirthday,birthday,birthdays,morning,home
lets go to grocery sho,lets go to grocery show,grocery shop,evening,restaurant
go to the meetshop,go to the meat shop,meat shop,night,community
its purlpe,its purple,purple,evening,restaurant
welcome,welcome,greetings,midday,school
go to the meet shop,go to the meet shop,meat shop,evening,restaurant
this i my house,this i my house,my house,afternoon,hospital
i wan food,i wan food,tiffin,evening,restaurant
i have my mrnng routine,i have my morning routine,morning routine,morning,home
i wantto change my footwear,i want change my footwear,change footwear,evening,restaurant
